#tags						#national ideas
PRF = "countries/Pornof.txt"
LGR = "countries/Leech Girl Realm.txt"
RMA = "countries/Rostrum Mountains.txt"
RAP = "countries/Riot Apoptosis.txt"
EAP = "countries/Eater Apoptosis.txt"
LXP = "countries/Luxuru Apoptosis.txt"
ILW = "countries/Iliasville.txt"
RMR = "countries/Realm of Mary.txt"
INE = "countries/Investigators Enclave.txt"
SSP = "countries/Shesta Apoptosis.txt"
SMC = "countries/Smuggler Coast.txt"
SLP = "countries/Sully Apoptosis.txt"
NMS = "countries/Nameless Slums.txt"
JIP = "countries/Jaide Apoptosis.txt"
IRD = "countries/Irina Adventurers.txt"
ERD = "countries/Earthworm Drylands.txt"
ORR = "countries/Orc Girl Realm.txt"
BGR = "countries/Bunny Girl Realm.txt"
MNR = "countries/Mandragora Realm.txt"
BLR = "countries/Bunny Slime Realm.txt"
SLM = "countries/Slime Mountains.txt"
IMR = "countries/Imp Girl Realm.txt"
SLR = "countries/Slime Girl Realm.txt"
WLR = "countries/Wolf Girl Realm.txt"
RGR = "countries/Rat Girl Realm.txt"
HVB = "countries/Heavenly Bandits.txt"
DGR = "countries/Dog Girl Realm.txt"
SGR = "countries/Sheep Girl Realm.txt"
BGH = "countries/Bee Girl Hive.txt"
SPR = "countries/Sparrow Girl Realm.txt"
HRT = "countries/Harpy Tower.txt"
HPV = "countries/Happiness Village.txt"
MIV = "countries/Midas Village.txt"
MDS = "countries/Midas Slugs.txt"
SLT = "countries/Slug Tower.txt"
SLU = "countries/Slug Girl Realm.txt"
ROR = "countries/Roper Realm.txt"
MDR = "countries/Meda Realm.txt"
RFF = "countries/Rafflesia Realm.txt"
ILC = "countries/Ilian Centaurs.txt"
SPG = "countries/Spider Girl Realm.txt"
KTG = "countries/Kitsune Geishas.txt"
KTI = "countries/Kitsune Taoists.txt"
PPR = "countries/Pumpkin Realm.txt"
JLW = "countries/Jack o Lantern Woods.txt"
JLG = "countries/Jack o Lantern Grove.txt"
DLF = "countries/Dark Elf Swordswomen.txt"
ENF = "countries/Enrikan Fairies.txt"
DLM = "countries/Dark Elf Mages.txt"
DOF = "countries/Dark Elf Forest.txt"
ENV = "countries/Enrika Village.txt"
ILB = "countries/Iliasburg.txt"
ILP = "countries/Iliasport.txt"
MCG = "countries/Mini Crab Realm.txt"
CTR = "countries/Catfish Realm.txt"
MMW = "countries/Mimic Woods.txt"
ILR = "countries/Iliarth.txt"
NAI = "countries/Naipi Village.txt"
ERF = "countries/Erefor Village.txt"
CNT = "countries/Conant Village.txt"
NBH = "countries/North Bee Hive.txt"
MII = "countries/Mimic Island.txt"
MMR = "countries/Midas Mermaids.txt"
PG1 = "countries/Pitcher Girl Realm.txt"
PNA = "countries/Port Natalia.txt"
LDV = "countries/Luddite Village.txt"
JGR = "countries/Jellyfish Girl Realm.txt"
CRR = "countries/Crab Girl Realm.txt"
SEC = "countries/Sea Cucumber Realm.txt"
SWG = "countries/Seaweed Girl Realm.txt"
SI1 = "countries/San Ilia.txt"
NVM = "countries/Novistador Mountains.txt"
KIM = "countries/Kinoko Mountains.txt"
URM = "countries/Urscylla Mountains.txt"
FSM = "countries/Fusuma Realm.txt"
ITT = "countries/Ittan Momen Realm.txt"
ANI = "countries/Anteater Hills.txt"
GRB = "countries/Grizzly Rocks.txt"
SSL = "countries/Sister Lamia Realm.txt"
SNR = "countries/Succubus Nun Realm.txt"
LR1 = "countries/Lamia Realm.txt"
SG1 = "countries/Shellfish Girl Realm.txt"
SB1 = "countries/Slime Bess Realm.txt"
BP1 = "countries/Bess Plains.txt"
CH1 = "countries/Carlos Hill.txt"
MC1 = "countries/Monte Carlo.txt"
