#South Ilias Snowfields
add_core = LGR
owner = LGR
controller = LGR
culture = Leech_Girl
religion = monster_lord_religion
base_tax = 3
base_production = 3
trade_goods = naval_supplies
base_manpower = 2
capital = "South Ilias Snowfields"
is_city = yes
discovered_by = TECH_CHIMERA
discovered_by = TECH_DOLL
discovered_by = TECH_DRAGON
discovered_by = TECH_KITSUNE
discovered_by = TECH_MERMAID
discovered_by = TECH_TANUKI
discovered_by = TECH_DEMI_HUMAN
discovered_by = TECH_ALRAUNE
discovered_by = TECH_ANGEL
discovered_by = TECH_BEAST
discovered_by = TECH_ELF
discovered_by = TECH_HARPY
discovered_by = TECH_HUMAN
discovered_by = TECH_INSECT
discovered_by = TECH_LAMIA
discovered_by = TECH_LAND_DWELLER
discovered_by = TECH_SCYLLA
discovered_by = TECH_SEA_DWELLER
discovered_by = TECH_SLIME
discovered_by = TECH_SUCCUBI
discovered_by = TECH_UNDEAD
discovered_by = TECH_VAMPIRE
discovered_by = TECH_YOUMA
